2, 4, 5, 10, 21, 37, 42
13, 20, 27, 33, 37, 42, 25
7, 15, 17, 24, 29, 40, 16
13, 16, 22, 24, 27, 28, 25
5, 9, 22, 26, 27, 32, 8
1, 4, 12, 30, 36, 42, 15
5, 8, 13, 22, 28, 32, 31
5, 13, 16, 27, 29, 38, 26
7, 23, 24, 33, 34, 38, 35
4, 11, 18, 19, 35, 36, 7
3, 4, 12, 17, 33, 39, 21
2, 11, 16, 24, 28, 42, 37
7, 13, 25, 27, 34, 41, 18
2, 3, 5, 8, 27, 40, 37
2, 13, 18, 21, 23, 32, 14
3, 30, 32, 34, 35, 42, 18
8, 10, 13, 33, 35, 36, 4
8, 19, 23, 31, 25, 41, 3
3, 4, 22, 23, 28, 35, 1
8, 14, 21, 22, 24, 33, 6
6, 7, 10, 17, 32, 36, 18
2, 18, 21, 28, 30, 42, 13
6, 14, 20, 25, 31, 41, 27
10, 13, 15, 20, 27, 41, 17
1, 3, 6, 20, 29, 35, 26
3, 13, 18, 22, 27, 41, 32
10, 22, 23, 36, 39, 42, 1
6, 11, 15, 32, 34, 35, 10
3, 22, 27, 29, 37, 42, 10
6, 11, 18, 29, 30, 37, 3
5, 18, 22, 23, 33, 40, 34
5, 8, 9, 34, 38, 39, 7
11, 13, 21, 31, 40, 42, 35
2, 7, 8, 17, 27, 36, 20
2, 5, 6, 7, 22, 30, 29
1, 8, 11, 21, 26, 36, 31
2, 15, 27, 28, 35, 42, 19
11, 12, 20, 23, 28, 40, 39
3, 9, 10, 12, 15, 31, 8
9, 10, 11, 26, 28, 32, 25
7, 16, 18, 31, 36, 42, 12
3, 17, 18, 27, 36, 42, 9
2, 24, 25, 30, 33, 41, 4
4, 6, 10, 30, 34, 39, 27
1, 9, 11, 17, 23, 39, 8
2, 9, 20, 36, 38, 39, 34
1, 3, 6, 7, 31, 34, 12
5, 17, 20, 21, 32, 35, 3
11, 12, 25, 28, 29, 35, 22
9, 14, 20, 23, 27, 33, 3
14, 23, 25, 28, 38, 39, 24
1, 14, 19, 20, 38, 40, 12
1, 3, 7, 34, 35, 42, 13
8, 16, 20, 22, 37, 42, 13
6, 11, 21, 28, 34, 40, 20
12, 16, 22, 24, 36, 38, 9
13, 17, 32, 33, 39, 42, 9
10, 19, 24, 28, 35, 36, 32
2, 11, 15, 20, 40, 41, 26
1, 5, 11, 27, 29, 30, 31
3, 4, 8, 11, 38, 40, 30
1, 14, 18, 34, 35, 37, 41
13, 16, 28, 31, 35, 42, 40
2, 25, 27, 29, 33, 40, 9
4, 15, 16, 20, 39, 42, 2
2, 6, 16, 25, 33, 38, 1
4, 8, 19, 22, 39, 42, 21
8, 9, 10, 18, 19, 27, 22
20, 21, 26, 30, 33, 39, 4
8, 24, 27, 30, 38, 41, 10
8, 20, 24, 25, 27, 36, 16
13, 16, 31, 32, 36, 40, 5
4, 9, 25, 26, 31, 42, 34
1, 8, 10, 14, 21, 26, 12
12, 14, 17, 21, 22, 29, 40
3, 9, 12, 18, 23, 33, 39
2, 21, 23, 25, 30, 35, 24
7, 16, 18, 19, 21, 27, 32
1, 3, 4, 9, 16, 29, 24
6, 27, 29, 37, 40, 42, 24
20, 25, 29, 33, 34, 37, 3
8, 9, 13, 22, 32, 38, 25
9, 20, 23, 27, 33, 40, 6
1, 12, 18, 20, 21, 34, 9
4, 10, 24, 25, 30, 36, 19
5, 14, 23, 27, 36, 38, 4
2, 6, 18, 26, 29, 31, 25
5, 7, 8, 12, 22, 33, 24
4, 22, 29, 30, 32, 36, 20
3, 7, 9, 14, 28, 32, 18
6, 13, 16, 26, 29, 33, 23
7, 13, 20, 23, 36, 38, 35
1, 7, 19, 24, 32, 34, 3
5, 18, 19, 33, 38, 42, 12
15, 19, 30, 35, 39, 40, 6
6, 8, 10, 15, 24, 25, 17
8, 9, 14, 28, 29, 39, 22
1, 7, 16, 30, 35, 36, 18
11, 14, 17, 20, 27, 28, 36
2, 6, 11, 14, 39, 41, 33
7, 11, 12, 17, 23, 29, 6
1, 4, 19, 28, 36, 37, 24
3, 9, 13, 24, 35, 37, 28
10, 19, 29, 30, 33, 36, 6
4, 12, 15, 23, 27, 29, 13
